customer_id,age,gender,income_band,family_status,has_baby,pet_owner,region,loyalty_tier,cluster
97,60,M,mid,family,0,0,West,Silver,1
98,61,M,low,single,0,0,North,Bronze,1
99,52,M,low,family,0,0,East,Silver,3
100,35,F,high,single,0,0,South,Bronze,2
101,57,F,mid,single,0,0,North,Silver,3
102,45,M,mid,family,1,1,North,Bronze,0
103,23,M,mid,single,0,0,South,Bronze,1
104,38,M,high,family,0,0,West,Bronze,2
105,21,F,high,single,0,0,Central,Silver,3
106,19,F,mid,family,0,0,East,Silver,3
107,59,M,low,family,0,0,Central,Silver,3
108,29,M,high,family,0,0,Central,Silver,2
109,29,F,mid,couple,0,1,North,Bronze,4
110,35,M,low,couple,0,0,West,Bronze,1
111,31,F,mid,family,0,1,North,Gold,4
112,35,M,high,couple,0,1,South,Bronze,2
113,32,F,mid,family,0,0,West,Bronze,1
114,70,F,mid,single,1,0,East,Silver,0
115,27,F,low,couple,0,1,West,Gold,4
116,49,M,high,family,0,1,East,Silver,2
117,23,M,mid,couple,0,0,Central,Bronze,1
118,44,M,high,family,1,0,South,Bronze,0
119,30,F,mid,single,0,0,Central,Bronze,1
120,49,M,mid,couple,0,1,North,Bronze,4
121,27,F,mid,family,0,0,West,Silver,1
122,59,M,low,single,0,0,West,Bronze,3
123,71,M,mid,family,0,1,West,Bronze,4
124,23,F,mid,couple,0,0,South,Bronze,1
125,67,F,low,family,0,1,East,Gold,4
126,63,M,low,couple,0,1,East,Silver,4
127,31,M,low,couple,1,1,East,Gold,0
128,40,M,mid,single,0,0,East,Bronze,1
129,56,M,low,family,0,0,Central,Gold,3
130,50,F,mid,single,0,0,North,Silver,3
131,44,F,low,single,0,0,West,Platinum,3
132,29,M,mid,single,0,1,West,Bronze,4
133,30,M,mid,couple,0,0,East,Silver,1
134,25,F,high,couple,0,0,West,Silver,2
135,28,F,mid,family,0,0,West,Gold,1
136,34,F,mid,family,0,1,North,Bronze,4
137,48,M,mid,couple,0,0,North,Bronze,1
138,20,F,low,family,0,1,North,Silver,4
139,39,F,mid,couple,0,0,North,Gold,1
140,23,M,low,family,0,1,East,Bronze,4
141,31,M,mid,family,0,0,North,Silver,1
142,19,M,low,couple,0,0,South,Gold,1
143,35,M,high,couple,0,0,East,Bronze,2
144,25,F,mid,single,0,1,Central,Gold,4
145,60,F,high,single,0,0,South,Silver,3
146,19,M,low,couple,0,0,West,Bronze,3
147,33,M,low,single,0,0,West,Bronze,1
148,43,F,mid,couple,0,1,South,Bronze,4
149,59,F,mid,family,0,0,East,Gold,3
150,58,F,high,couple,0,1,West,Bronze,4
151,35,M,high,single,0,1,East,Bronze,2
152,64,F,mid,couple,0,1,West,Gold,4
153,30,F,low,single,0,0,South,Silver,1
154,35,M,mid,single,0,0,Central,Silver,1
155,34,F,high,couple,0,1,North,Bronze,2
156,24,M,high,family,1,0,North,Bronze,0
157,35,F,low,family,0,0,North,Platinum,1
158,24,F,mid,couple,0,1,Central,Gold,4
159,66,F,mid,couple,0,1,North,Gold,4
160,35,M,low,family,0,1,Central,Bronze,4
161,43,M,low,single,0,1,Central,Bronze,4
162,37,M,low,family,0,1,North,Silver,4
163,55,M,mid,single,0,0,East,Silver,1
164,21,F,mid,family,0,0,North,Platinum,1
165,44,F,high,single,0,0,East,Bronze,2
166,35,M,mid,couple,0,0,South,Bronze,1
167,33,M,mid,family,1,0,East,Silver,0
168,24,F,low,single,0,0,West,Silver,1
169,39,F,high,single,0,0,Central,Silver,2
170,53,M,low,family,0,1,West,Silver,4
171,45,M,low,couple,0,0,North,Silver,1
172,38,M,high,single,0,0,South,Silver,2
173,68,F,high,single,0,0,South,Gold,3
174,71,M,mid,single,0,0,East,Silver,1
175,24,M,low,family,0,0,West,Gold,1
176,36,F,high,single,0,0,South,Silver,2
177,21,F,mid,family,0,1,North,Bronze,4
178,50,F,low,couple,0,0,South,Bronze,3
179,46,M,low,single,0,0,East,Silver,3
180,45,M,mid,family,0,0,South,Gold,3
181,33,F,low,family,0,1,Central,Silver,4
182,20,F,mid,single,0,0,West,Bronze,3
183,18,F,mid,couple,0,0,North,Bronze,3
184,22,M,mid,family,0,0,Central,Silver,1
185,21,F,low,single,0,1,North,Bronze,4
186,40,M,mid,couple,0,0,North,Gold,1
187,26,F,low,single,0,0,North,Silver,1
188,41,F,high,single,0,0,Central,Silver,2
189,38,M,mid,family,0,0,East,Bronze,1
190,27,F,low,family,0,1,Central,Silver,4
191,25,M,low,single,0,0,East,Bronze,1
192,61,F,mid,single,1,0,Central,Bronze,0
193,34,F,low,single,0,1,North,Silver,4
194,31,M,mid,couple,0,0,South,Gold,1
195,25,M,low,single,0,1,North,Bronze,4
196,47,M,low,family,0,0,East,Silver,1
197,45,M,low,family,0,1,West,Bronze,4
198,44,M,mid,single,0,0,South,Gold,3
199,33,F,low,family,0,0,East,Bronze,1
200,34,F,high,couple,0,1,South,Silver,2
201,42,M,mid,single,0,0,South,Bronze,1
202,62,F,mid,family,0,1,West,Gold,4
203,31,F,mid,single,0,0,South,Bronze,1
204,22,M,low,family,1,0,West,Bronze,0
205,46,M,mid,single,0,0,North,Gold,3
206,26,M,low,single,0,0,North,Bronze,1
207,20,F,low,couple,0,0,West,Gold,1
208,37,F,low,couple,0,1,East,Bronze,4
209,36,M,low,single,0,0,West,Bronze,3
210,72,F,low,single,1,1,South,Silver,0
211,20,F,low,single,0,0,South,Bronze,1
212,57,M,low,couple,0,1,North,Bronze,4
213,36,F,high,single,0,0,West,Silver,2
214,37,M,low,couple,0,0,Central,Bronze,3
215,46,F,mid,single,0,0,West,Silver,3
216,30,F,low,couple,0,1,South,Bronze,4
217,44,F,low,single,0,0,North,Silver,1
218,39,F,low,couple,0,0,Central,Gold,1
219,58,F,low,couple,0,1,East,Silver,4
220,19,F,high,single,0,0,East,Bronze,3
221,54,F,low,couple,0,1,South,Bronze,4
222,72,M,mid,family,0,1,East,Bronze,4
223,27,M,low,family,0,0,North,Silver,1
224,59,M,mid,couple,0,1,Central,Silver,4
225,72,M,low,single,0,0,East,Bronze,1
226,54,M,low,family,0,0,Central,Silver,3
227,32,F,low,single,0,0,South,Silver,1
228,68,F,low,single,0,1,South,Gold,4
229,22,F,mid,single,0,1,East,Bronze,4
230,30,M,high,single,0,1,West,Silver,2
231,32,M,high,couple,0,1,North,Bronze,2
232,40,F,low,family,0,1,Central,Silver,4
233,40,M,mid,single,0,0,North,Bronze,1
234,58,M,high,family,0,1,Central,Silver,4
235,48,F,mid,couple,0,0,South,Gold,1
236,18,F,mid,couple,0,0,West,Bronze,3
237,44,M,mid,single,0,0,East,Silver,3
238,32,M,mid,couple,0,0,Central,Silver,1
239,30,F,low,single,0,0,Central,Gold,1
240,27,M,mid,family,0,0,South,Bronze,1
241,53,M,high,single,0,1,East,Gold,2
242,39,M,mid,family,0,0,Central,Bronze,3
243,39,M,low,single,0,0,North,Bronze,1
244,34,F,low,single,0,0,North,Gold,1
245,31,M,high,family,0,1,West,Gold,2
246,63,F,mid,single,0,0,North,Bronze,1
247,35,F,low,family,1,0,East,Silver,0
248,42,F,mid,family,0,1,Central,Bronze,4
249,21,M,high,single,0,0,East,Gold,1
250,29,M,low,couple,0,1,South,Silver,4
251,31,F,high,couple,0,1,Central,Bronze,2
252,42,F,low,family,0,1,West,Silver,4
253,20,F,mid,single,0,1,East,Gold,4
254,60,F,low,single,0,0,South,Platinum,1
255,19,M,high,couple,0,0,Central,Bronze,1
256,70,M,low,single,0,1,East,Silver,4
257,60,M,mid,couple,0,0,West,Silver,3
258,20,F,mid,family,0,0,South,Bronze,3
259,49,M,high,family,0,1,North,Silver,2
260,65,M,mid,single,0,0,East,Silver,1
261,27,F,high,single,1,1,West,Gold,0
262,45,M,mid,family,0,0,East,Silver,3
263,39,M,low,single,0,1,North,Bronze,4
264,24,M,mid,family,1,1,South,Silver,0
265,38,F,low,couple,0,0,North,Silver,3
266,45,M,low,couple,0,0,Central,Gold,1
267,78,F,high,couple,0,0,North,Bronze,3
268,30,F,low,family,0,0,South,Silver,1
269,31,M,mid,single,0,0,Central,Gold,1
270,67,M,low,couple,0,0,Central,Gold,1
271,38,F,high,family,1,0,Central,Bronze,0
272,23,M,mid,family,0,0,South,Gold,1
273,20,F,low,single,0,0,South,Gold,1
274,39,F,low,family,1,0,East,Silver,0
275,27,F,mid,single,0,0,Central,Silver,1
276,40,F,mid,family,0,1,North,Bronze,4
277,24,M,mid,single,0,0,South,Silver,1
278,42,M,mid,single,0,0,South,Platinum,1
279,35,M,low,single,0,0,South,Bronze,1
280,27,F,mid,couple,0,0,West,Bronze,1
281,41,F,low,couple,0,0,South,Silver,1
282,44,M,mid,single,0,0,East,Silver,1
283,34,M,mid,single,0,1,Central,Silver,4
284,54,F,mid,couple,0,0,Central,Bronze,3
285,48,F,mid,couple,0,0,North,Silver,1
286,34,M,mid,couple,0,0,South,Bronze,1
287,45,M,mid,single,0,0,East,Gold,3
288,21,F,low,couple,0,0,Central,Gold,1
289,33,F,mid,single,0,0,East,Bronze,1
290,45,M,mid,single,0,0,East,Bronze,1
291,24,M,low,couple,0,0,West,Bronze,1
292,53,F,mid,single,0,0,West,Bronze,3
293,55,F,low,couple,0,1,East,Platinum,4
294,32,M,low,single,0,1,East,Bronze,4
295,68,M,low,family,0,0,West,Bronze,1
296,19,F,high,family,0,0,North,Silver,1
297,26,M,low,couple,0,0,East,Silver,1
298,36,M,mid,couple,0,1,South,Silver,4
299,36,M,mid,family,1,1,North,Silver,0
300,32,M,mid,family,1,1,West,Silver,0
301,72,F,mid,family,0,1,South,Bronze,4
302,37,F,mid,family,0,0,South,Bronze,1
303,26,F,high,family,0,1,West,Gold,2
304,22,F,low,couple,0,1,West,Gold,4
305,73,F,low,family,1,0,West,Bronze,0
306,22,M,low,family,0,0,West,Bronze,1
307,21,M,mid,single,0,0,East,Silver,1
308,60,F,mid,single,0,1,North,Silver,4
309,41,F,high,couple,0,0,South,Bronze,2
310,70,F,low,family,0,0,North,Bronze,3
311,24,F,mid,single,0,0,West,Bronze,1
312,78,M,mid,single,0,0,East,Bronze,1
313,19,M,high,family,0,0,South,Gold,1
314,43,F,mid,family,0,0,North,Bronze,1
315,34,M,low,family,0,1,South,Bronze,4
316,22,M,low,couple,0,0,West,Gold,1
317,59,F,low,single,0,0,North,Silver,1
318,41,F,mid,family,0,0,Central,Bronze,1
319,29,M,mid,single,0,0,East,Silver,1
320,24,F,mid,couple,0,1,West,Bronze,4
321,59,F,mid,single,0,0,Central,Silver,1
322,49,M,low,family,0,0,East,Silver,3
323,58,F,low,single,0,0,East,Silver,1
324,37,F,high,single,0,0,East,Bronze,2
325,57,F,mid,single,0,1,Central,Bronze,4
326,43,F,low,single,0,0,West,Silver,3
327,39,M,low,family,0,0,West,Bronze,3
328,50,F,low,family,0,1,North,Gold,4
329,18,M,mid,family,0,1,South,Bronze,4
330,68,F,high,family,0,1,West,Gold,4
331,41,F,high,family,0,1,Central,Bronze,2
332,23,M,high,family,0,0,South,Silver,3
333,35,M,low,couple,0,0,East,Bronze,1
334,27,M,low,family,0,0,South,Bronze,1
335,43,F,mid,family,0,1,West,Bronze,4
336,51,F,low,couple,0,1,West,Bronze,4
337,21,M,low,family,0,1,Central,Silver,4
338,43,M,high,couple,0,1,South,Gold,2
339,34,M,high,family,0,0,West,Bronze,2
340,18,F,low,couple,0,1,North,Gold,4
341,51,F,high,single,0,0,Central,Silver,2
342,25,F,mid,single,0,1,South,Silver,4
343,69,F,mid,couple,0,0,Central,Silver,3
344,33,F,low,couple,0,0,Central,Silver,1
345,38,F,mid,family,0,1,South,Bronze,4
346,45,M,mid,couple,0,0,West,Silver,1
347,37,M,low,single,0,0,North,Bronze,3
348,21,F,mid,single,0,0,Central,Bronze,3
349,18,M,mid,couple,0,0,West,Bronze,3
350,50,M,mid,couple,0,1,East,Silver,4
351,22,F,low,family,0,0,South,Bronze,1
352,26,F,mid,couple,0,1,East,Bronze,4
353,58,M,low,family,0,1,South,Silver,4
354,41,M,low,family,0,1,West,Gold,4
355,48,M,high,family,0,0,West,Gold,2
356,51,F,low,single,0,1,South,Platinum,4
357,23,M,low,single,0,0,North,Bronze,1
358,45,F,high,single,0,1,Central,Silver,2
359,55,M,mid,family,0,1,South,Bronze,4
360,40,F,mid,family,0,0,South,Silver,1
361,58,M,high,family,0,0,East,Silver,1
362,19,F,mid,single,1,0,North,Bronze,0
363,30,M,low,couple,0,0,West,Silver,1
364,58,F,high,couple,0,0,North,Silver,3
365,30,F,mid,family,0,1,Central,Gold,4
366,58,F,low,family,0,1,South,Silver,4
367,58,F,low,couple,0,0,West,Silver,1
368,43,M,mid,family,0,0,West,Bronze,1
369,51,F,mid,single,0,1,East,Silver,4
370,18,M,low,couple,0,0,Central,Silver,3
371,59,M,low,single,0,1,West,Bronze,4
372,22,F,low,single,0,0,Central,Silver,1
373,39,F,mid,family,0,0,South,Gold,3
374,68,M,low,family,0,1,North,Silver,4
375,60,F,mid,single,0,0,North,Silver,1
376,24,F,mid,couple,0,0,East,Bronze,1
377,49,F,high,couple,0,1,East,Platinum,2
378,27,M,high,family,0,1,North,Gold,2
379,30,F,mid,couple,0,1,Central,Bronze,4
380,29,F,high,single,0,0,West,Bronze,2
381,54,F,mid,couple,0,1,Central,Bronze,4
382,19,M,low,single,0,0,West,Bronze,3
383,35,F,mid,family,0,0,East,Bronze,1
384,20,M,high,couple,0,1,West,Bronze,4
385,46,F,low,single,0,0,West,Gold,1
386,36,F,mid,single,0,0,Central,Bronze,1
387,27,M,high,family,1,0,West,Silver,0
388,50,M,mid,single,0,1,Central,Bronze,4
389,43,M,low,couple,0,0,Central,Silver,1
390,38,M,mid,family,1,0,Central,Silver,0
391,65,M,low,single,0,0,East,Bronze,3
392,28,F,mid,single,0,0,North,Bronze,1
393,30,M,low,single,0,0,South,Platinum,1
394,61,F,mid,family,0,0,Central,Gold,3
395,27,M,low,family,0,1,East,Platinum,4
396,18,M,mid,couple,0,0,North,Bronze,1
397,28,F,mid,family,0,0,Central,Bronze,1
398,40,F,mid,couple,0,0,North,Bronze,3
399,46,M,high,family,0,0,East,Bronze,2
400,53,M,mid,single,0,1,West,Bronze,4
401,66,F,mid,family,0,0,South,Bronze,1
402,18,F,low,single,0,1,Central,Silver,4
403,19,M,low,single,0,0,West,Bronze,1
404,50,F,low,family,0,0,East,Silver,3
405,48,F,mid,single,0,0,West,Silver,1
406,34,M,mid,couple,0,0,Central,Silver,1
407,53,F,low,single,1,0,Central,Bronze,0
408,28,M,low,single,1,1,South,Silver,0
409,42,F,mid,single,0,0,Central,Gold,1
410,37,M,high,couple,0,0,Central,Silver,2
411,33,M,low,single,0,1,East,Silver,4
412,46,F,low,couple,0,1,West,Silver,4
413,67,F,low,single,0,0,South,Silver,3
414,18,M,mid,couple,0,1,South,Gold,4
415,68,F,mid,single,0,1,West,Silver,4
416,30,M,high,family,0,1,Central,Bronze,2
417,32,M,low,family,0,0,South,Gold,1
418,32,F,mid,single,0,0,East,Silver,1
419,74,M,low,couple,0,0,West,Gold,3
420,48,M,high,single,0,0,East,Bronze,2
421,52,M,low,couple,0,1,South,Silver,4
422,40,F,high,single,0,0,South,Gold,2
423,30,M,mid,single,0,0,South,Silver,1
424,32,M,mid,couple,0,0,East,Bronze,1
425,26,M,mid,couple,0,0,South,Gold,1
426,58,F,low,family,0,1,Central,Silver,4
427,42,M,mid,couple,0,0,North,Silver,3
428,46,F,high,couple,0,1,Central,Silver,2
429,38,M,low,single,0,1,South,Gold,4
430,53,M,mid,family,0,0,West,Silver,1
431,37,F,high,family,0,0,North,Bronze,2
432,27,M,low,single,0,1,South,Silver,4
433,19,F,low,couple,0,0,South,Bronze,1
434,50,F,mid,single,0,0,North,Bronze,3
435,33,F,mid,couple,0,0,North,Silver,1
436,23,M,mid,single,0,0,South,Silver,1
437,31,M,mid,family,0,0,South,Silver,1
438,26,M,high,family,0,0,East,Gold,2
439,37,M,mid,family,0,1,North,Silver,4
440,57,F,mid,couple,0,0,North,Bronze,3
441,49,F,low,couple,0,1,North,Bronze,4
442,27,F,low,couple,0,0,North,Bronze,1
443,56,F,high,family,0,0,West,Bronze,1
444,21,M,mid,couple,0,0,South,Bronze,1
445,29,F,high,couple,0,1,South,Bronze,2
446,31,M,mid,family,0,0,South,Silver,1
447,55,M,high,couple,0,1,West,Gold,2
448,60,F,mid,couple,0,0,West,Gold,3
449,24,F,mid,single,0,0,North,Bronze,1
450,28,M,high,family,0,0,East,Bronze,2
451,32,M,low,single,0,0,West,Bronze,1
452,21,F,mid,family,0,0,Central,Gold,3
453,45,F,low,single,0,0,North,Gold,1
454,58,M,mid,family,0,1,East,Bronze,4
455,35,M,mid,family,0,0,South,Gold,1
456,68,M,low,family,0,1,West,Gold,4
457,38,M,high,family,0,0,West,Bronze,2
458,58,F,low,family,0,0,North,Bronze,1
459,55,M,low,single,0,0,North,Gold,1
460,64,F,low,family,1,0,South,Silver,0
461,35,M,mid,couple,0,0,East,Gold,1
462,34,M,mid,family,0,0,South,Silver,1
463,43,M,low,couple,0,0,East,Bronze,3
464,56,F,low,single,0,1,West,Bronze,4
465,26,F,low,family,0,0,Central,Bronze,1
466,24,F,mid,family,1,1,North,Gold,0
467,20,M,low,couple,0,0,East,Silver,1
468,20,F,mid,family,0,1,West,Silver,4
469,44,M,low,family,0,0,South,Silver,3
470,33,F,low,single,0,0,South,Bronze,1
471,50,F,low,single,0,1,East,Bronze,4
472,52,F,mid,family,0,0,East,Bronze,1
473,26,F,mid,single,0,0,West,Bronze,1
474,56,M,mid,couple,0,0,West,Bronze,3
475,40,F,high,couple,0,1,East,Bronze,2
476,76,M,high,single,0,0,South,Silver,1
477,43,M,low,couple,0,0,Central,Gold,3
478,32,M,mid,couple,0,1,Central,Platinum,4
479,52,F,low,single,0,0,South,Silver,1
480,34,M,high,family,0,0,North,Bronze,2
481,53,F,mid,single,0,0,East,Bronze,1
482,27,F,low,couple,0,0,West,Silver,1
483,31,F,high,family,1,1,West,Bronze,0
484,32,F,high,single,0,1,East,Silver,2
485,53,F,low,single,0,0,North,Gold,3
486,23,F,mid,single,0,0,East,Bronze,1
487,19,F,mid,single,0,0,North,Gold,1
488,42,F,mid,family,0,1,North,Gold,4
489,53,F,low,couple,0,0,Central,Bronze,1
490,43,F,mid,single,0,1,West,Gold,4
491,43,M,mid,family,0,1,North,Bronze,4
492,68,M,mid,family,0,1,Central,Gold,4
493,58,M,low,single,0,1,South,Gold,4
494,56,F,high,couple,0,1,Central,Gold,4
495,29,F,mid,single,0,0,East,Gold,1
496,45,M,mid,single,0,0,North,Bronze,3
497,40,F,low,single,0,1,North,Silver,4
498,43,F,high,family,0,0,West,Silver,2
499,44,M,mid,single,0,0,Central,Silver,1
500,22,F,low,single,0,1,West,Bronze,4
501,57,M,low,family,0,0,Central,Bronze,3
502,57,M,high,couple,0,0,West,Bronze,3
503,36,M,mid,family,0,1,South,Silver,4
504,50,F,mid,couple,0,0,North,Bronze,1
505,34,F,mid,couple,0,0,West,Bronze,1
506,61,F,mid,couple,0,1,North,Bronze,4
507,48,M,high,couple,0,1,Central,Gold,2
508,33,F,low,single,0,1,Central,Bronze,4
509,43,M,high,single,0,0,North,Silver,2
510,28,F,low,family,0,1,Central,Bronze,4
511,33,F,mid,single,0,0,West,Silver,1
512,27,M,mid,couple,0,1,East,Silver,4
513,65,F,low,single,0,1,West,Bronze,4
514,38,M,mid,family,0,1,Central,Silver,4
515,44,F,low,couple,0,0,East,Bronze,3
516,42,F,low,family,0,0,West,Bronze,3
517,73,M,high,single,0,0,South,Silver,3
518,21,F,mid,couple,0,1,West,Silver,4
519,77,M,high,couple,0,0,North,Silver,3
520,64,M,mid,family,0,0,East,Platinum,1
521,33,F,high,single,0,0,South,Gold,2
522,19,F,mid,single,0,0,Central,Silver,3
523,47,F,high,single,0,0,West,Gold,2
524,21,M,low,couple,0,0,East,Silver,3
525,35,F,low,single,0,0,East,Bronze,1
526,25,M,mid,family,1,0,North,Bronze,0
527,21,F,mid,couple,0,0,Central,Silver,1
528,32,F,low,single,0,0,North,Gold,1
529,31,M,mid,couple,0,1,East,Silver,4
530,28,F,high,single,1,1,East,Silver,0
531,20,F,low,single,0,0,South,Gold,1
532,37,F,low,family,0,0,East,Gold,3
533,42,M,mid,single,0,0,West,Gold,1
534,58,F,high,single,0,0,Central,Silver,3
535,70,M,high,single,0,0,Central,Bronze,1
536,68,M,mid,single,0,0,West,Bronze,3
537,22,F,high,couple,0,0,West,Bronze,1
538,39,F,mid,family,0,0,East,Bronze,1
539,21,F,mid,single,0,1,North,Silver,4
540,24,M,mid,family,0,0,West,Bronze,1
541,27,F,low,single,0,0,West,Gold,1
542,43,F,mid,couple,0,0,East,Gold,1
543,37,F,high,family,0,0,South,Gold,2
544,28,F,mid,couple,0,1,Central,Bronze,4
545,22,F,high,family,0,1,Central,Silver,4
546,50,F,mid,family,0,0,West,Silver,3
547,65,M,low,family,0,0,North,Bronze,3
548,25,F,low,couple,0,0,South,Silver,1
549,39,F,low,couple,0,1,Central,Bronze,4
550,56,M,high,family,0,1,North,Silver,4
551,65,M,high,couple,0,0,North,Bronze,3
552,24,F,high,single,0,0,South,Silver,1
553,47,F,mid,single,0,0,North,Gold,3
554,75,M,high,couple,0,0,North,Silver,3
555,73,F,low,single,0,1,South,Silver,4
556,43,F,high,single,0,0,East,Silver,2
557,41,M,mid,family,1,0,West,Silver,0
558,74,M,high,family,0,1,West,Silver,4
559,51,M,mid,couple,1,0,Central,Bronze,0
560,35,F,mid,couple,1,1,Central,Bronze,0
561,45,M,mid,couple,0,1,South,Silver,4
562,34,F,mid,single,0,0,Central,Bronze,1
563,69,F,low,single,0,0,West,Silver,3
564,27,F,mid,single,0,0,Central,Silver,1
565,51,F,mid,couple,0,1,Central,Gold,4
566,45,M,low,family,0,1,Central,Bronze,4
567,27,F,mid,family,0,0,South,Gold,1
568,53,F,mid,single,0,0,West,Bronze,3
569,18,F,mid,single,0,0,North,Bronze,1
570,49,F,low,couple,0,0,Central,Bronze,1
571,26,F,low,couple,0,0,Central,Bronze,1
572,48,M,mid,family,0,0,East,Bronze,3
573,59,M,mid,family,0,1,South,Bronze,4
574,75,M,high,family,0,1,East,Bronze,4
575,37,F,low,family,1,1,Central,Silver,0
576,54,F,mid,couple,1,0,Central,Platinum,0
577,72,M,mid,family,0,1,East,Gold,4
578,34,F,mid,couple,0,1,North,Silver,4
579,67,M,high,single,0,0,East,Bronze,3
580,43,M,low,family,0,0,West,Silver,1
581,25,M,mid,single,0,0,South,Silver,1
582,22,F,mid,single,0,0,West,Silver,1
583,51,M,mid,couple,0,0,West,Bronze,1
584,48,F,mid,couple,0,1,East,Gold,4
585,74,M,mid,single,0,0,South,Platinum,3
586,19,M,low,family,0,1,East,Platinum,4
587,60,F,low,couple,0,1,East,Gold,4
588,78,M,mid,couple,0,1,Central,Gold,4
589,45,F,low,single,0,0,Central,Bronze,1
590,32,M,mid,couple,0,0,South,Bronze,1
591,63,F,low,family,0,0,East,Bronze,3
592,69,M,mid,family,0,0,East,Silver,1
593,57,M,high,family,0,1,West,Silver,4
594,32,F,mid,couple,0,1,South,Bronze,4
