basket_id,t,customer_id,cluster,last_cat,dayofweek,promo_any,action_rec,action_rec_prob,purchased_cat,clicked,reward
12,3,2,1,Beverages,4,0,Grocery,0.0696,Pet,0,0.4
12,4,2,1,Pet,4,0,Beauty,0.0777,Dairy,0,0.61
13,0,2,1,START,2,0,Dairy,0.0781,Electronics,0,6.45
13,1,2,1,Electronics,2,0,Home,0.062,Dairy,0,0.16
13,2,2,1,Dairy,2,0,Baby,0.0388,PersonalCare,0,0.52
13,3,2,1,PersonalCare,2,0,Pet,0.0543,Home,0,5.13
13,4,2,1,Home,2,0,Bakery,0.0854,Produce,0,0.08
13,5,2,1,Produce,2,0,PersonalCare,0.0776,Grocery,0,0.2
13,6,2,1,Grocery,2,0,Snacks,0.1164,Snacks,1,1.87
14,0,2,1,START,5,1,Grocery,0.0703,Dairy,0,0.37
14,1,2,1,Dairy,5,1,Bakery,0.0853,Beverages,0,0.14
14,2,2,1,Beverages,5,1,Beverages,0.119,Bakery,0,0.13
15,0,2,1,START,1,0,Beverages,0.1094,Grocery,0,0.32
15,1,2,1,Grocery,1,0,Beauty,0.0776,Snacks,0,0.16
15,2,2,1,Snacks,1,0,Beauty,0.0772,Electronics,0,1.39
15,3,2,1,Electronics,1,0,Beauty,0.0775,Dairy,0,0.15
15,4,2,1,Dairy,1,0,Beverages,0.1085,Home,0,1.59
16,0,2,1,START,2,0,Beverages,0.1094,Bakery,0,0.25
16,1,2,1,Bakery,2,0,Electronics,0.0852,Bakery,0,1.03
16,2,2,1,Bakery,2,0,Grocery,0.0697,PersonalCare,0,0.88
16,3,2,1,PersonalCare,2,0,Produce,0.0698,Household,0,0.23
16,4,2,1,Household,2,0,Household,0.0768,Pet,0,0.14
16,5,2,1,Pet,2,0,Baby,0.0389,Grocery,0,0.13
17,0,2,1,START,3,0,Snacks,0.1172,Home,0,1.38
17,1,2,1,Home,3,0,PersonalCare,0.0776,Beverages,0,0.13
17,2,2,1,Beverages,3,0,Snacks,0.1159,Baby,0,0.96
17,3,2,1,Baby,3,0,Grocery,0.07,Beauty,0,0.66
17,4,2,1,Beauty,3,0,Bakery,0.0853,Bakery,1,1.13
18,0,2,1,START,4,0,Beverages,0.1094,Bakery,0,0.1
18,1,2,1,Bakery,4,0,Electronics,0.0852,PersonalCare,0,0.45
18,2,2,1,PersonalCare,4,0,Pet,0.0543,Bakery,0,0.14
19,0,2,1,START,2,1,Dairy,0.0781,Beverages,0,0.2
19,1,2,1,Beverages,2,1,Household,0.0696,Electronics,0,6.26
19,2,2,1,Electronics,2,1,Bakery,0.0852,PersonalCare,0,0.84
19,3,2,1,PersonalCare,2,1,Beauty,0.0775,Pet,0,1.36
19,4,2,1,Pet,2,1,Produce,0.0699,Bakery,0,0.03
20,0,2,1,START,3,0,Dairy,0.0781,Home,0,3.69
21,0,3,2,START,1,0,Beauty,0.1045,Electronics,0,2.51
21,1,3,2,Electronics,1,0,Electronics,0.1538,Pet,0,0.11
21,2,3,2,Pet,1,0,Beauty,0.1039,Electronics,0,2.33
21,3,3,2,Electronics,1,0,Baby,0.0221,Produce,0,0.58
22,0,3,2,START,1,0,Household,0.0746,Home,0,1.71
22,1,3,2,Home,1,0,Produce,0.0812,Beverages,0,0.12
22,2,3,2,Beverages,1,0,Beauty,0.1037,Beauty,1,11.71
23,0,3,2,START,0,0,Bakery,0.0672,Home,0,7.08
23,1,3,2,Home,0,0,Beauty,0.1034,PersonalCare,0,0.53
24,0,3,2,START,2,1,Electronics,0.1418,Electronics,1,30.71
24,1,3,2,Electronics,2,1,Dairy,0.0662,Produce,0,0.08
24,2,3,2,Produce,2,1,Household,0.074,Electronics,0,2.33
24,3,3,2,Electronics,2,1,Household,0.0736,Bakery,0,0.27
25,0,3,2,START,0,1,Beauty,0.1045,Pet,0,0.26
25,1,3,2,Pet,0,1,Home,0.1039,Grocery,0,0.27
25,2,3,2,Grocery,0,1,Household,0.0742,Household,1,3.98
25,3,3,2,Household,0,1,Home,0.1037,Home,1,11.59
26,0,3,2,START,2,0,Electronics,0.1418,Produce,0,0.09
26,1,3,2,Produce,2,0,PersonalCare,0.0888,Electronics,0,4.37
26,2,3,2,Electronics,2,0,Grocery,0.0589,Pet,0,1.77
26,3,3,2,Pet,2,0,Home,0.1039,Dairy,0,0.17
26,4,3,2,Dairy,2,0,Household,0.0741,PersonalCare,0,0.53
26,5,3,2,PersonalCare,2,0,Produce,0.0814,Produce,1,0.78
26,6,3,2,Produce,2,0,Beverages,0.074,PersonalCare,0,1.05
27,0,3,2,START,2,1,Pet,0.0522,Beauty,0,1.07
27,1,3,2,Beauty,2,1,Home,0.1034,Beauty,0,0.33
27,2,3,2,Beauty,2,1,Baby,0.0222,Electronics,0,2.28
27,3,3,2,Electronics,2,1,PersonalCare,0.0883,Bakery,0,0.14
27,4,3,2,Bakery,2,1,Grocery,0.0593,Beauty,0,0.66
27,5,3,2,Beauty,2,1,Electronics,0.1403,Electronics,1,7.42
27,6,3,2,Electronics,2,1,PersonalCare,0.0883,Electronics,0,5.76
27,7,3,2,Electronics,2,1,Electronics,0.1538,Home,0,4.25
28,0,3,2,START,1,1,Grocery,0.0597,PersonalCare,0,0.65
29,0,3,2,START,1,0,Electronics,0.1418,Electronics,1,10.85
29,1,3,2,Electronics,1,0,Beverages,0.0736,Grocery,0,0.27
29,2,3,2,Grocery,1,0,Grocery,0.0653,Baby,0,0.82
30,0,3,2,START,5,1,Beverages,0.0746,Grocery,0,0.38
30,1,3,2,Grocery,5,1,Dairy,0.0668,Beauty,0,0.59
30,2,3,2,Beauty,5,1,Snacks,0.0591,Home,0,1.71
30,3,3,2,Home,5,1,Beauty,0.1034,Beverages,0,0.16
30,4,3,2,Beverages,5,1,Grocery,0.0593,Beauty,0,1.19
30,5,3,2,Beauty,5,1,Bakery,0.0665,Produce,0,0.04
31,0,3,2,START,5,0,Bakery,0.0672,Electronics,0,3.13
31,1,3,2,Electronics,5,0,Home,0.103,Snacks,0,0.14
31,2,3,2,Snacks,5,0,Electronics,0.1409,Snacks,0,0.28
31,3,3,2,Snacks,5,0,Household,0.0742,Snacks,0,0.85
32,0,3,2,START,4,0,Grocery,0.0597,Grocery,1,1.69
33,0,3,2,START,2,1,PersonalCare,0.0896,PersonalCare,1,3.98
33,1,3,2,PersonalCare,2,1,Beauty,0.1036,Home,0,1.59
33,2,3,2,Home,2,1,Bakery,0.0665,Produce,0,0.48
34,0,3,2,START,3,0,Pet,0.0522,Home,0,4.72
34,1,3,2,Home,3,0,PersonalCare,0.0886,Home,0,1.71
34,2,3,2,Home,3,0,Home,0.1137,Home,1,28.34
35,0,4,2,START,6,0,Beauty,0.1045,Home,0,8.5
35,1,4,2,Home,6,0,Grocery,0.0591,Bakery,0,0.14
35,2,4,2,Bakery,6,0,Produce,0.0815,Home,0,27.55
36,0,4,2,START,6,0,Bakery,0.0672,Home,0,6.59
36,1,4,2,Home,6,0,Produce,0.0812,Bakery,0,0.06
36,2,4,2,Bakery,6,0,Electronics,0.1408,Electronics,1,17.82
36,3,4,2,Electronics,6,0,Household,0.0736,Dairy,0,0.18
36,4,4,2,Dairy,6,0,Electronics,0.1408,Home,0,4.89
37,0,4,2,START,5,1,Beverages,0.0746,Produce,0,0.13
37,1,4,2,Produce,5,1,Household,0.074,Beverages,0,0.04
37,2,4,2,Beverages,5,1,Home,0.1037,Beverages,0,0.09
37,3,4,2,Beverages,5,1,Electronics,0.1407,Dairy,0,0.38
37,4,4,2,Dairy,5,1,PersonalCare,0.089,Pet,0,0.58
37,5,4,2,Pet,5,1,Electronics,0.1411,Electronics,1,82.29
38,0,4,2,START,3,0,Beauty,0.1045,Electronics,0,2.2
38,1,4,2,Electronics,3,0,Electronics,0.1538,Household,0,1.64
38,2,4,2,Household,3,0,Electronics,0.1407,Household,0,0.57
39,0,4,2,START,5,0,Snacks,0.0597,Household,0,0.6
39,1,4,2,Household,5,0,PersonalCare,0.0889,PersonalCare,1,5.85
39,2,4,2,PersonalCare,5,0,Electronics,0.1405,Home,0,2.92
39,3,4,2,Home,5,0,Baby,0.0222,Electronics,0,0.63
39,4,4,2,Electronics,5,0,Home,0.103,Produce,0,0.17
39,5,4,2,Produce,5,0,Beauty,0.1036,PersonalCare,0,0.62
40,0,4,2,START,2,0,Home,0.1045,Home,1,10.61
40,1,4,2,Home,2,0,Bakery,0.0665,Electronics,0,2.51
41,0,4,2,START,2,0,Bakery,0.0672,Produce,0,0.08
41,1,4,2,Produce,2,0,Household,0.074,PersonalCare,0,1.15
41,2,4,2,PersonalCare,2,0,Household,0.074,Produce,0,0.08
41,3,4,2,Produce,2,0,Grocery,0.0592,Snacks,0,0.14
41,4,4,2,Snacks,2,0,Grocery,0.0593,Beverages,0,0.18
42,0,4,2,START,1,0,Bakery,0.0672,Produce,0,0.08
42,1,4,2,Produce,1,0,Home,0.1036,PersonalCare,0,2.17
42,2,4,2,PersonalCare,1,0,Home,0.1036,Beverages,0,0.17
42,3,4,2,Beverages,1,0,Household,0.0741,Beauty,0,1.19
43,0,4,2,START,3,0,Home,0.1045,Baby,0,0.6
43,1,4,2,Baby,3,0,Beauty,0.1042,Electronics,0,2.51
43,2,4,2,Electronics,3,0,Grocery,0.0589,PersonalCare,0,1.07
43,3,4,2,PersonalCare,3,0,Dairy,0.0666,Beverages,0,0.18
44,0,4,2,START,2,0,Produce,0.0821,Produce,1,1.87
44,1,4,2,Produce,2,0,Produce,0.0896,PersonalCare,0,0.88
44,2,4,2,PersonalCare,2,0,Household,0.074,Grocery,0,0.25
45,0,4,2,START,2,0,Bakery,0.0672,Grocery,0,0.14
45,1,4,2,Grocery,2,0,Household,0.0742,Electronics,0,11.42
46,0,4,2,START,4,0,Baby,0.0224,Bakery,0,0.54
46,1,4,2,Bakery,4,0,Electronics,0.1408,Snacks,0,0.13
46,2,4,2,Snacks,4,0,Bakery,0.0668,Bakery,1,0.49
46,3,4,2,Bakery,4,0,Beverages,0.0741,Bakery,0,0.34
47,0,4,2,START,0,0,Household,0.0746,PersonalCare,0,0.3
47,1,4,2,PersonalCare,0,0,Bakery,0.0666,Grocery,0,0.81
48,0,4,2,START,3,0,Bakery,0.0672,PersonalCare,0,1.15
48,1,4,2,PersonalCare,3,0,Beauty,0.1036,PersonalCare,0,0.6
48,2,4,2,PersonalCare,3,0,Beverages,0.074,Dairy,0,0.14
49,0,4,2,START,3,0,Snacks,0.0597,Pet,0,0.4
49,1,4,2,Pet,3,0,Baby,0.0223,Dairy,0,0.24
50,0,4,2,START,6,1,Electronics,0.1418,Snacks,0,0.09
50,1,4,2,Snacks,6,1,Electronics,0.1409,Electronics,1,25.37
50,2,4,2,Electronics,6,1,Beverages,0.0736,Dairy,0,0.11
51,0,5,2,START,6,1,Snacks,0.0597,Bakery,0,0.12
51,1,5,2,Bakery,6,1,Grocery,0.0593,Beverages,0,0.16
51,2,5,2,Beverages,6,1,Bakery,0.0667,Produce,0,0.1
51,3,5,2,Produce,6,1,Produce,0.0896,Electronics,0,2.33
51,4,5,2,Electronics,6,1,Beverages,0.0736,Household,0,0.57
51,5,5,2,Household,6,1,Snacks,0.0593,Home,0,2.32
51,6,5,2,Home,6,1,Electronics,0.1403,Grocery,0,0.76
52,0,5,2,START,1,0,PersonalCare,0.0896,Dairy,0,0.17
52,1,5,2,Dairy,1,0,Household,0.0741,Bakery,0,0.08
52,2,5,2,Bakery,1,0,Home,0.1038,Grocery,0,0.17
52,3,5,2,Grocery,1,0,Home,0.1039,PersonalCare,0,0.27
52,4,5,2,PersonalCare,1,0,Produce,0.0814,PersonalCare,0,1.09
53,0,5,2,START,1,1,Home,0.1045,Bakery,0,0.26
53,1,5,2,Bakery,1,1,Dairy,0.0667,Electronics,0,6.26
53,2,5,2,Electronics,1,1,Electronics,0.1538,Baby,0,1.84
54,0,5,2,START,2,0,Home,0.1045,Electronics,0,1.63
54,1,5,2,Electronics,2,0,Electronics,0.1538,Household,0,0.58
54,2,5,2,Household,2,0,Electronics,0.1407,Baby,0,0.53
54,3,5,2,Baby,2,0,Snacks,0.0596,Electronics,0,5.13
54,4,5,2,Electronics,2,0,Home,0.103,Electronics,0,4.19
55,0,5,2,START,6,0,Electronics,0.1418,PersonalCare,0,0.6
55,1,5,2,PersonalCare,6,0,Electronics,0.1405,Pet,0,0.16
55,2,5,2,Pet,6,0,Dairy,0.0668,Electronics,0,4.76
55,3,5,2,Electronics,6,0,Electronics,0.1538,Snacks,0,0.14
55,4,5,2,Snacks,6,0,Home,0.1039,Bakery,0,0.58
56,0,5,2,START,2,0,Produce,0.0821,Electronics,0,8.74
56,1,5,2,Electronics,2,0,Electronics,0.1538,Home,0,2.86
56,2,5,2,Home,2,0,Beverages,0.0739,PersonalCare,0,0.76
56,3,5,2,PersonalCare,2,0,Pet,0.0518,PersonalCare,0,0.44
56,4,5,2,PersonalCare,2,0,Household,0.074,Bakery,0,0.26
57,0,5,2,START,3,0,Home,0.1045,Grocery,0,0.27
57,1,5,2,Grocery,3,0,Produce,0.0816,PersonalCare,0,0.84
57,2,5,2,PersonalCare,3,0,Household,0.074,Produce,0,0.16
57,3,5,2,Produce,3,0,Beauty,0.1036,Household,0,0.17
58,0,5,2,START,2,1,Household,0.0746,Produce,0,0.08
58,1,5,2,Produce,2,1,Home,0.1036,Household,0,0.25
59,0,5,2,START,1,0,Bakery,0.0672,Electronics,0,2.33
59,1,5,2,Electronics,1,0,Electronics,0.1538,Produce,0,0.15
59,2,5,2,Produce,1,0,Snacks,0.0592,Grocery,0,0.27
59,3,5,2,Grocery,1,0,Household,0.0742,Grocery,0,0.36
60,0,5,2,START,6,0,Household,0.0746,Beverages,0,0.17
60,1,5,2,Beverages,6,0,Grocery,0.0593,Snacks,0,0.08
60,2,5,2,Snacks,6,0,Bakery,0.0668,Beverages,0,0.1
61,0,5,2,START,2,0,Produce,0.0821,Dairy,0,0.12
62,0,6,4,START,5,1,Home,0.0758,Dairy,0,0.16
62,1,6,4,Dairy,5,1,Dairy,0.0827,Pet,0,0.49
62,2,6,4,Pet,5,1,Beverages,0.0746,Dairy,0,0.14
62,3,6,4,Dairy,5,1,Electronics,0.0451,Bakery,0,0.54
62,4,6,4,Bakery,5,1,Electronics,0.0451,PersonalCare,0,0.25
62,5,6,4,PersonalCare,5,1,Beverages,0.0752,PersonalCare,0,0.45
63,0,6,4,START,1,1,PersonalCare,0.0758,Dairy,0,0.13
63,1,6,4,Dairy,1,1,Beverages,0.0752,Bakery,0,0.27
63,2,6,4,Bakery,1,1,Pet,0.1504,Beverages,0,0.1
63,3,6,4,Beverages,1,1,Pet,0.1504,Dairy,0,0.22
63,4,6,4,Dairy,1,1,Dairy,0.0827,Bakery,0,0.16
63,5,6,4,Bakery,1,1,Bakery,0.0827,Pet,0,0.3
64,0,6,4,START,5,0,Grocery,0.0758,Produce,0,0.1
64,1,6,4,Produce,5,0,Beauty,0.0677,Dairy,0,0.14
64,2,6,4,Dairy,5,0,Beverages,0.0752,Baby,0,0.26
64,3,6,4,Baby,5,0,Bakery,0.0754,Pet,0,0.14
64,4,6,4,Pet,5,0,Bakery,0.0746,Snacks,0,0.14
64,5,6,4,Snacks,5,0,Snacks,0.0827,Home,0,2.83
64,6,6,4,Home,5,0,Bakery,0.0752,Home,0,6.92
64,7,6,4,Home,5,0,Grocery,0.0752,PersonalCare,0,1.25
65,0,6,4,START,0,0,Grocery,0.0758,Household,0,0.55
65,1,6,4,Household,0,0,PersonalCare,0.0752,Pet,0,0.3
65,2,6,4,Pet,0,0,Household,0.0746,Home,0,1.71
65,3,6,4,Home,0,0,Beauty,0.0677,Pet,0,0.53
65,4,6,4,Pet,0,0,Pet,0.1642,Baby,0,0.95
66,0,6,4,START,6,0,Baby,0.053,Snacks,0,0.06
67,0,6,4,START,3,0,Grocery,0.0758,Electronics,0,0.63
67,1,6,4,Electronics,3,0,Household,0.0754,Produce,0,0.24
67,2,6,4,Produce,3,0,Snacks,0.0752,Snacks,1,0.98
67,3,6,4,Snacks,3,0,Electronics,0.0451,Grocery,0,0.14
67,4,6,4,Grocery,3,0,Grocery,0.0827,Pet,0,0.16
68,0,6,4,START,6,1,Pet,0.1515,Pet,1,2.12
68,1,6,4,Pet,6,1,Home,0.0746,Bakery,0,0.06
68,2,6,4,Bakery,6,1,Household,0.0752,Home,0,5.53
68,3,6,4,Home,6,1,Snacks,0.0752,Snacks,1,1.13
68,4,6,4,Snacks,6,1,Pet,0.1504,Beverages,0,0.11
68,5,6,4,Beverages,6,1,Dairy,0.0752,Beauty,0,1.4
69,0,6,4,START,0,0,Bakery,0.0758,Home,0,5.53
69,1,6,4,Home,0,0,Pet,0.1504,Grocery,0,0.81
69,2,6,4,Grocery,0,0,Pet,0.1504,Beauty,0,2.97
69,3,6,4,Beauty,0,0,Baby,0.0527,Snacks,0,0.14
69,4,6,4,Snacks,0,0,Pet,0.1504,Beverages,0,0.09
69,5,6,4,Beverages,0,0,Pet,0.1504,Pet,1,2.03
69,6,6,4,Pet,0,0,PersonalCare,0.0746,Electronics,0,2.2
70,0,6,4,START,2,0,Grocery,0.0758,Pet,0,0.1
70,1,6,4,Pet,2,0,Snacks,0.0746,Bakery,0,0.41
70,2,6,4,Bakery,2,0,Pet,0.1504,Baby,0,0.84
70,3,6,4,Baby,2,0,PersonalCare,0.0754,Pet,0,0.13
70,4,6,4,Pet,2,0,Dairy,0.0746,Dairy,1,3.51
70,5,6,4,Dairy,2,0,Electronics,0.0451,Dairy,0,0.18
70,6,6,4,Dairy,2,0,Electronics,0.0451,Pet,0,0.48
70,7,6,4,Pet,2,0,Baby,0.0522,Beauty,0,0.59
71,0,6,4,START,2,0,Produce,0.0758,Grocery,0,0.27
71,1,6,4,Grocery,2,0,PersonalCare,0.0752,Grocery,0,0.25
71,2,6,4,Grocery,2,0,Pet,0.1504,Grocery,0,0.61
72,0,7,2,START,1,1,PersonalCare,0.0896,Dairy,0,0.22
72,1,7,2,Dairy,1,1,Beauty,0.1038,Electronics,0,1.19
72,2,7,2,Electronics,1,1,Electronics,0.1538,Pet,0,0.43
72,3,7,2,Pet,1,1,Electronics,0.1411,Electronics,1,7.93
72,4,7,2,Electronics,1,1,Bakery,0.0662,Electronics,0,6.26
72,5,7,2,Electronics,1,1,Beauty,0.103,Snacks,0,0.2
73,0,7,2,START,1,0,Baby,0.0224,Grocery,0,0.38
73,1,7,2,Grocery,1,0,Home,0.1039,Household,0,0.43
74,0,7,2,START,2,0,Home,0.1045,Home,1,31.46
74,1,7,2,Home,2,0,Electronics,0.1403,Electronics,1,4.17
74,2,7,2,Electronics,2,0,PersonalCare,0.0883,Electronics,0,4.43
75,0,7,2,START,3,0,Household,0.0746,Produce,0,0.05
75,1,7,2,Produce,3,0,Bakery,0.0666,Home,0,5.73
76,0,7,2,START,2,0,Grocery,0.0597,PersonalCare,0,0.22
76,1,7,2,PersonalCare,2,0,Home,0.1036,Home,1,23.94
76,2,7,2,Home,2,0,Beauty,0.1034,Household,0,0.54
76,3,7,2,Household,2,0,Household,0.0815,Produce,0,0.13
76,4,7,2,Produce,2,0,Dairy,0.0666,Beauty,0,2.92
77,0,7,2,START,0,1,PersonalCare,0.0896,Household,0,0.21
77,1,7,2,Household,0,1,Snacks,0.0593,Bakery,0,0.33
78,0,7,2,START,4,1,Electronics,0.1418,Beauty,0,1.87
78,1,7,2,Beauty,4,1,Snacks,0.0591,Home,0,2.73
78,2,7,2,Home,4,1,Household,0.0739,Dairy,0,0.1
78,3,7,2,Dairy,4,1,Produce,0.0815,Electronics,0,2.01
78,4,7,2,Electronics,4,1,Home,0.103,PersonalCare,0,0.62
78,5,7,2,PersonalCare,4,1,Snacks,0.0592,PersonalCare,0,0.21
78,6,7,2,PersonalCare,4,1,Home,0.1036,PersonalCare,0,0.53
78,7,7,2,PersonalCare,4,1,PersonalCare,0.0976,Electronics,0,2.53
79,0,7,2,START,2,1,Electronics,0.1418,Household,0,0.28
79,1,7,2,Household,2,1,Electronics,0.1407,Home,0,1.87
79,2,7,2,Home,2,1,Dairy,0.0665,Electronics,0,1.4
79,3,7,2,Electronics,2,1,Electronics,0.1538,Dairy,0,0.2
80,0,7,2,START,5,0,Electronics,0.1418,Produce,0,0.08
80,1,7,2,Produce,5,0,PersonalCare,0.0888,Grocery,0,0.23
80,2,7,2,Grocery,5,0,Grocery,0.0653,Household,0,2.29
81,0,7,2,START,4,0,Household,0.0746,PersonalCare,0,0.53
81,1,7,2,PersonalCare,4,0,PersonalCare,0.0976,Grocery,0,0.53
81,2,7,2,Grocery,4,0,Grocery,0.0653,Bakery,0,0.25
82,0,7,2,START,3,0,Electronics,0.1418,PersonalCare,0,0.44
82,1,7,2,PersonalCare,3,0,Produce,0.0814,Beauty,0,1.49
82,2,7,2,Beauty,3,0,Grocery,0.0591,PersonalCare,0,0.34
82,3,7,2,PersonalCare,3,0,Beverages,0.074,Dairy,0,0.38
83,0,7,2,START,4,0,Beverages,0.0746,PersonalCare,0,0.27
83,1,7,2,PersonalCare,4,0,Baby,0.0222,Beverages,0,0.28
83,2,7,2,Beverages,4,0,Beauty,0.1037,Beauty,1,33.8
83,3,7,2,Beauty,4,0,Produce,0.0812,Snacks,0,0.08
84,0,7,2,START,5,0,Produce,0.0821,Grocery,0,0.57
84,1,7,2,Grocery,5,0,Beverages,0.0742,Household,0,0.58
84,2,7,2,Household,5,0,PersonalCare,0.0889,Grocery,0,0.25
84,3,7,2,Grocery,5,0,Electronics,0.1409,Household,0,0.37
84,4,7,2,Household,5,0,Beauty,0.1037,Electronics,0,0.63
84,5,7,2,Electronics,5,0,Beverages,0.0736,Pet,0,0.53
84,6,7,2,Pet,5,0,Baby,0.0223,Snacks,0,0.04
84,7,7,2,Snacks,5,0,Grocery,0.0593,Snacks,0,0.11
84,8,7,2,Snacks,5,0,Home,0.1039,Beauty,0,0.53
84,9,7,2,Beauty,5,0,Produce,0.0812,Electronics,0,13.3
84,10,7,2,Electronics,5,0,Home,0.103,Electronics,0,4.19
85,0,7,2,START,0,0,Pet,0.0522,Dairy,0,0.22
85,1,7,2,Dairy,0,0,Household,0.0741,Pet,0,0.89
86,0,7,2,START,5,0,PersonalCare,0.0896,Bakery,0,0.22
86,1,7,2,Bakery,5,0,Dairy,0.0667,Pet,0,0.11
86,2,7,2,Pet,5,0,Beauty,0.1039,Electronics,0,3.81
86,3,7,2,Electronics,5,0,Home,0.103,Home,1,19.45
86,4,7,2,Home,5,0,Electronics,0.1403,Beauty,0,1.69
87,0,7,2,START,2,1,Pet,0.0522,Snacks,0,0.08
87,1,7,2,Snacks,2,1,Grocery,0.0593,Bakery,0,0.39
87,2,7,2,Bakery,2,1,Bakery,0.0734,Produce,0,0.23
87,3,7,2,Produce,2,1,Home,0.1036,Produce,0,0.15
88,0,7,2,START,3,0,Dairy,0.0672,Snacks,0,0.09
88,1,7,2,Snacks,3,0,Home,0.1039,Household,0,0.2
88,2,7,2,Household,3,0,Beverages,0.0741,Bakery,0,0.26
88,3,7,2,Bakery,3,0,Home,0.1038,Bakery,0,0.06
88,4,7,2,Bakery,3,0,Bakery,0.0734,Electronics,0,3.23
88,5,7,2,Electronics,3,0,Bakery,0.0662,Household,0,1.23
88,6,7,2,Household,3,0,Dairy,0.0667,Snacks,0,0.04
89,0,8,1,START,5,0,Beverages,0.1094,Snacks,0,0.11
89,1,8,1,Snacks,5,0,Bakery,0.0849,Dairy,0,0.26
89,2,8,1,Dairy,5,0,Bakery,0.0853,Snacks,0,0.04
89,3,8,1,Snacks,5,0,Produce,0.0695,Dairy,0,0.14
89,4,8,1,Dairy,5,0,Beauty,0.0775,Pet,0,0.11
89,5,8,1,Pet,5,0,PersonalCare,0.0777,Snacks,0,0.09
89,6,8,1,Snacks,5,0,Beauty,0.0772,Pet,0,1.27
89,7,8,1,Pet,5,0,Produce,0.0699,Bakery,0,0.13
90,0,8,1,START,3,0,Electronics,0.0859,Beverages,0,0.22
90,1,8,1,Beverages,3,0,Beverages,0.119,Home,0,2.73
90,2,8,1,Home,3,0,Household,0.0699,Grocery,0,0.28
90,3,8,1,Grocery,3,0,Baby,0.0388,Dairy,0,0.26
91,0,8,1,START,5,1,PersonalCare,0.0781,Snacks,0,0.09
91,1,8,1,Snacks,5,1,Snacks,0.1274,Home,0,2.75
91,2,8,1,Home,5,1,Beauty,0.0776,Snacks,0,0.04
91,3,8,1,Snacks,5,1,Home,0.0618,PersonalCare,0,0.69
91,4,8,1,PersonalCare,5,1,PersonalCare,0.0853,Produce,0,0.06
91,5,8,1,Produce,5,1,Snacks,0.1164,Bakery,0,0.08
91,6,8,1,Bakery,5,1,Snacks,0.1162,Electronics,0,1.19
